Date,Close,High,Low,Open,Volume,MA_20,MA_50,MA_100,Trend,Momentum,Returns,Volatility,Signal
2025-05-21,449.9561767578125,455.1360777634671,449.2005564495621,451.94462570262056,19216900,428.3482498168945,397.5072479248047,404.5303826904297,True,0.4573974609375,-0.012222538212808609,0.019082021683562104,1
2025-05-22,452.23291015625,457.5917944035942,451.27846319798533,452.32241705541014,18025600,431.74202117919924,398.94474365234373,404.7135974121094,True,1.719970703125,0.0050599003103872775,0.018191256017914454,1
2025-05-23,447.5799560546875,451.06969358680703,446.3173019248347,447.3811293692874,16883500,434.67736968994143,400.3784973144531,404.9253564453125,True,-4.066375732421875,-0.010288844524727003,0.018634392279722915,1
2025-05-27,458.0292663574219,458.2877744248074,453.48565331857327,453.8435898996704,20974300,438.16942291259767,401.826923828125,405.29806243896485,True,1.80950927734375,0.02334624274697772,0.01884251855586734,1
2025-05-28,454.7184753417969,459.8486770934627,454.2909661144885,458.55619745791415,17086300,441.3530303955078,403.20635498046875,405.6706411743164,True,-0.80535888671875,-0.007228339450783938,0.019167279593482835,1
2025-05-29,456.0308837890625,459.05333474747385,452.68035209769624,458.884303233251,13974800,444.5417236328125,404.7148486328125,406.08526428222655,True,6.07470703125,0.002886199964228675,0.019170012317856228,1
2025-05-30,457.7011413574219,459.0135248792732,452.9090026922185,457.0648535034259,34770500,446.31837768554686,406.17140014648436,406.46934692382814,True,5.468231201171875,0.0036625974856825394,0.010361170966747267,1
2025-06-02,459.3018493652344,459.44102500437896,454.25120274050374,454.4997588416313,16626500,447.6848205566406,407.6794165039062,406.8248678588867,True,11.721893310546875,0.003497277728137682,0.009332543933073902,1
2025-06-03,460.2961120605469,461.4593680607732,458.1982826150306,458.8047753297213,15743800,449.0568130493164,409.11958984375,407.2446063232422,True,2.266845703125,0.0021647260874011476,0.009331859573222818,1
2025-06-04,461.19091796875,463.00041385639463,460.3458210681402,461.3201720094852,14162700,450.61546325683594,410.5415368652344,407.65160247802737,True,6.472442626953125,0.0019439788535198232,0.009057493147553242,1
2025-06-05,464.9788818359375,466.93750520910584,461.3499686746429,462.2745901279283,20131700,452.3615249633789,411.9979583740234,408.1520407104492,True,8.947998046875,0.008213439856688876,0.009076623527562933,1
2025-06-06,467.6632995605469,470.6061954238558,466.0725343793748,467.37496597576217,15285600,454.0026382446289,413.61107971191404,408.6967544555664,True,9.962158203125,0.005773203535631932,0.008931800978829304,1
2025-06-09,470.0196228027344,470.69568816704816,465.9134708467471,466.98725027602023,16469900,455.7337814331055,415.25922119140625,409.28008544921875,True,10.7177734375,0.005038503650813819,0.008918086822004673,1
2025-06-10,468.2001647949219,470.06928116822303,464.2630143504256,468.46859445832456,15375900,456.85145111083983,417.1047821044922,409.73984191894533,True,7.904052734375,-0.003871025632851355,0.007701570279363034,1
2025-06-11,469.890380859375,472.72392676786,466.94748481913814,467.3053910772251,16399200,458.05958404541013,419.05182983398436,410.23363525390624,True,8.699462890625,0.0036100287687712562,0.0076776212549026675,1
2025-06-12,476.104248046875,477.6453141185156,470.7851412769109,472.2764779222473,18950600,459.38985748291014,420.9881878662109,410.7454931640625,True,11.1253662109375,0.013224078297018105,0.007936217226863211,1
2025-06-13,472.21685791015625,476.412486495024,470.02958222474376,473.65849556523114,16814500,460.47505340576174,422.84779052734376,411.2237261962891,True,4.553558349609375,-0.008164997797574847,0.008314434999167772,1
2025-06-16,476.3727111816406,477.91374692205306,472.2566074497181,472.4653860858625,15626100,461.7113723754883,424.96973876953126,411.56821411132813,True,6.35308837890625,0.00880073043109153,0.008437379027419449,1
2025-06-17,475.279052734375,475.97499162724574,471.3419021646973,472.6542856879232,15414100,462.6643371582031,427.33319702148435,411.89671417236326,True,7.078887939453125,-0.0022958041499749893,0.008318497118942402,1
2025-06-18,477.4663391113281,478.2219594008936,471.71972301658775,475.2392860574369,17526500,463.76146240234374,429.77970031738283,412.2733334350586,True,7.575958251953125,0.0046021097802841915,0.008291468471317549,1
2025-06-20,474.6427612304687,480.667759158903,474.1158234691147,479.4448824655413,37576200,464.99579162597655,432.2352307128906,412.71580627441404,True,-1.4614868164063068,-0.0059136689847387736,0.007812559763889225,1
2025-06-23,483.1930541992187,484.9329468840925,469.7809768690432,475.4480376949825,24864000,466.543798828125,434.1486260986328,413.1185934448242,True,10.976196289062443,0.018014164898636942,0.008522945554732667,1
2025-06-24,487.279296875,489.0092679302753,483.9884166007436,486.1260232932434,22305600,468.5287658691406,436.32515808105467,413.6104763793945,True,10.906585693359375,0.008456749616472248,0.00795591469112906,1
2025-06-25,489.4268493652344,491.70363180611855,486.5635084927723,489.1981971647186,17495100,470.09864501953126,438.4037194824219,414.39461486816407,True,14.147796630859375,0.004407231138295886,0.006575467383479013,1
